"총조사인구 총괄(시군구/성/5세연령별)"

"C행정구역별","행정구역별","C연령별","연령별","시점","인구 (명)","남자 (명)","여자 (명)","성비(명) (%)"
'00,"전국",'00,"계",2010,47990761,23840896,24149865,98.70
'00,"전국",'05,"0 - 4세",2010,2219084,1142220,1076864,106.10
'00,"전국",'10,"5 - 9세",2010,2394663,1243294,1151369,108.00
'00,"전국",'15,"10 - 14세",2010,3173226,1654964,1518262,109.00
'00,"전국",'20,"15 - 19세",2010,3438414,1826179,1612235,113.30
'00,"전국",'25,"20 - 24세",2010,3055420,1625371,1430049,113.70
'00,"전국",'30,"25 - 29세",2010,3538949,1802805,1736144,103.80
'00,"전국",'35,"30 - 34세",2010,3695348,1866397,1828951,102.00
'00,"전국",'40,"35 - 39세",2010,4099147,2060233,2038914,101.00
'00,"전국",'45,"40 - 44세",2010,4131423,2071431,2059992,100.60
'00,"전국",'50,"45 - 49세",2010,4073358,2044641,2028717,100.80
'00,"전국",'55,"50 - 54세",2010,3798131,1887973,1910158,98.80
'00,"전국",'60,"55 - 59세",2010,2766695,1360747,1405948,96.80
'00,"전국",'65,"60 - 64세",2010,2182236,1057035,1125201,93.90
'00,"전국",'70,"65 - 69세",2010,1812168,833242,978926,85.10
'00,"전국",'75,"70 - 74세",2010,1566014,672894,893120,75.30
'00,"전국",'80,"75 - 79세",2010,1084367,410726,673641,61.00
'00,"전국",'85,"80 - 84세",2010,595509,186008,409501,45.40
'00,"전국",'90,"85세이상",2010,366609,94736,271873,34.80
'00,"전국",'96,"15세미만",2010,7786973,4040478,3746495,107.80
'00,"전국",'97,"15 - 64세",2010,34779121,17602812,17176309,102.50
'00,"전국",'98,"65세이상",2010,5424667,2197606,3227061,68.10
'00,"전국",'99,"평균연령",2010,38.1,36.8,39.3,
'00,"전국",'9A,"연령중위수",2010,38.1,37.0,39.3,
'0C,"읍부",'00,"계",2010,4149215,2086063,2063152,101.10
'0C,"읍부",'05,"0 - 4세",2010,233244,120523,112721,106.90
'0C,"읍부",'10,"5 - 9세",2010,242350,125883,116467,108.10
'0C,"읍부",'15,"10 - 14세",2010,289816,150362,139454,107.80
'0C,"읍부",'20,"15 - 19세",2010,283791,151364,132427,114.30
'0C,"읍부",'25,"20 - 24세",2010,212646,120757,91889,131.40
'0C,"읍부",'30,"25 - 29세",2010,250451,131234,119217,110.10
'0C,"읍부",'35,"30 - 34세",2010,313402,158551,154851,102.40
'0C,"읍부",'40,"35 - 39세",2010,368334,189986,178348,106.50
'0C,"읍부",'45,"40 - 44세",2010,351960,187295,164665,113.70
'0C,"읍부",'50,"45 - 49세",2010,328305,173048,155257,111.50
'0C,"읍부",'55,"50 - 54세",2010,300407,154086,146321,105.30
'0C,"읍부",'60,"55 - 59세",2010,226460,112421,114039,98.60
'0C,"읍부",'65,"60 - 64세",2010,188393,90660,97733,92.80
'0C,"읍부",'70,"65 - 69세",2010,170581,75525,95056,79.50
'0C,"읍부",'75,"70 - 74세",2010,164198,68767,95431,72.10
'0C,"읍부",'80,"75 - 79세",2010,119415,44840,74575,60.10
'0C,"읍부",'85,"80 - 84세",2010,65185,20293,44892,45.20
'0C,"읍부",'90,"85세이상",2010,40277,10468,29809,35.10
'0C,"읍부",'96,"15세미만",2010,765410,396768,368642,107.60
'0C,"읍부",'97,"15 - 64세",2010,2824149,1469402,1354747,108.50
'0C,"읍부",'98,"65세이상",2010,559656,219893,339763,64.70
'0C,"읍부",'99,"평균연령",2010,38.4,36.9,40.0,
'0C,"읍부",'9A,"연령중위수",2010,38.4,37.3,39.6,
'0D,"면부",'00,"계",2010,4478173,2195964,2282209,96.20
'0D,"면부",'05,"0 - 4세",2010,148288,76071,72217,105.30
'0D,"면부",'10,"5 - 9세",2010,159033,83010,76023,109.20
'0D,"면부",'15,"10 - 14세",2010,213761,111595,102166,109.20
'0D,"면부",'20,"15 - 19세",2010,232342,125983,106359,118.50
'0D,"면부",'25,"20 - 24세",2010,202285,121179,81106,149.40
'0D,"면부",'30,"25 - 29세",2010,208385,121992,86393,141.20
'0D,"면부",'35,"30 - 34세",2010,214308,118725,95583,124.20
'0D,"면부",'40,"35 - 39세",2010,247665,137466,110199,124.70
'0D,"면부",'45,"40 - 44세",2010,271097,148264,122833,120.70
'0D,"면부",'50,"45 - 49세",2010,318496,167735,150761,111.30
'0D,"면부",'55,"50 - 54세",2010,366574,184922,181652,101.80
'0D,"면부",'60,"55 - 59세",2010,330991,161055,169936,94.80
'0D,"면부",'65,"60 - 64세",2010,318224,152541,165683,92.10
'0D,"면부",'70,"65 - 69세",2010,334146,145694,188452,77.30
'0D,"면부",'75,"70 - 74세",2010,366447,152492,213955,71.30
'0D,"면부",'80,"75 - 79세",2010,288385,108686,179699,60.50
'0D,"면부",'85,"80 - 84세",2010,159358,51809,107549,48.20
'0D,"면부",'90,"85세이상",2010,98388,26745,71643,37.30
'0D,"면부",'96,"15세미만",2010,521082,270676,250406,108.10
'0D,"면부",'97,"15 - 64세",2010,2710367,1439862,1270505,113.30
'0D,"면부",'98,"65세이상",2010,1246724,485426,761298,63.80
'0D,"면부",'99,"평균연령",2010,47.6,44.7,50.3,
'0D,"면부",'9A,"연령중위수",2010,50.3,46.7,53.7,
'0E,"동부",'00,"계",2010,39363373,19558869,19804504,98.80
'0E,"동부",'05,"0 - 4세",2010,1837552,945626,891926,106.00
'0E,"동부",'10,"5 - 9세",2010,1993280,1034401,958879,107.90
'0E,"동부",'15,"10 - 14세",2010,2669649,1393007,1276642,109.10
'0E,"동부",'20,"15 - 19세",2010,2922281,1548832,1373449,112.80
'0E,"동부",'25,"20 - 24세",2010,2640489,1383435,1257054,110.10
'0E,"동부",'30,"25 - 29세",2010,3080113,1549579,1530534,101.20
'0E,"동부",'35,"30 - 34세",2010,3167638,1589121,1578517,100.70
'0E,"동부",'40,"35 - 39세",2010,3483148,1732781,1750367,99.00
'0E,"동부",'45,"40 - 44세",2010,3508366,1735872,1772494,97.90
'0E,"동부",'50,"45 - 49세",2010,3426557,1703858,1722699,98.90
'0E,"동부",'55,"50 - 54세",2010,3131150,1548965,1582185,97.90
'0E,"동부",'60,"55 - 59세",2010,2209244,1087271,1121973,96.90
'0E,"동부",'65,"60 - 64세",2010,1675619,813834,861785,94.40
'0E,"동부",'70,"65 - 69세",2010,1307441,612023,695418,88.00
'0E,"동부",'75,"70 - 74세",2010,1035369,451635,583734,77.40
'0E,"동부",'80,"75 - 79세",2010,676567,257200,419367,61.30
'0E,"동부",'85,"80 - 84세",2010,370966,113906,257060,44.30
'0E,"동부",'90,"85세이상",2010,227944,57523,170421,33.80
'0E,"동부",'96,"15세미만",2010,6500481,3373034,3127447,107.90
'0E,"동부",'97,"15 - 64세",2010,29244605,14693548,14551057,101.00
'0E,"동부",'98,"65세이상",2010,3618287,1492287,2126000,70.20
'0E,"동부",'99,"평균연령",2010,37.0,35.9,38.0,
'0E,"동부",'9A,"연령중위수",2010,37.1,36.1,38.0,
'11,"서울특별시",'00,"계",2010,9631482,4726028,4905454,96.30
'11,"서울특별시",'05,"0 - 4세",2010,397667,204216,193451,105.60
'11,"서울특별시",'10,"5 - 9세",2010,411886,212435,199451,106.50
'11,"서울특별시",'15,"10 - 14세",2010,545750,283502,262248,108.10
'11,"서울특별시",'20,"15 - 19세",2010,635237,332292,302945,109.70
'11,"서울특별시",'25,"20 - 24세",2010,684026,339766,344260,98.70
'11,"서울특별시",'30,"25 - 29세",2010,898900,439024,459876,95.50
'11,"서울특별시",'35,"30 - 34세",2010,857764,430797,426967,100.90
'11,"서울특별시",'40,"35 - 39세",2010,850730,429626,421104,102.00
'11,"서울특별시",'45,"40 - 44세",2010,797360,393950,403410,97.70
'11,"서울특별시",'50,"45 - 49세",2010,784467,380404,404063,94.10
'11,"서울특별시",'55,"50 - 54세",2010,777432,368872,408560,90.30
'11,"서울특별시",'60,"55 - 59세",2010,592471,283140,309331,91.50
'11,"서울특별시",'65,"60 - 64세",2010,468836,225186,243650,92.40
'11,"서울특별시",'70,"65 - 69세",2010,362266,175236,187030,93.70
'11,"서울특별시",'75,"70 - 74세",2010,263697,121030,142667,84.80
'11,"서울특별시",'80,"75 - 79세",2010,159797,63867,95930,66.60
'11,"서울특별시",'85,"80 - 84세",2010,87286,27885,59401,46.90
'11,"서울특별시",'90,"85세이상",2010,55910,14800,41110,36.00
'11,"서울특별시",'96,"15세미만",2010,1355303,700153,655150,106.90
'11,"서울특별시",'97,"15 - 64세",2010,7347223,3623057,3724166,97.30
'11,"서울특별시",'98,"65세이상",2010,928956,402818,526138,76.60
'11,"서울특별시",'99,"평균연령",2010,37.9,37.0,38.8,
'11,"서울특별시",'9A,"연령중위수",2010,37.3,36.5,38.2,
'11010," 종로구",'00,"계",2010,151069,74331,76738,96.90
'11010," 종로구",'05,"0 - 4세",2010,4613,2367,2246,105.40
'11010," 종로구",'10,"5 - 9세",2010,5380,2781,2599,107.00
'11010," 종로구",'15,"10 - 14세",2010,8095,4301,3794,113.40
'11010," 종로구",'20,"15 - 19세",2010,10512,5607,4905,114.30
'11010," 종로구",'25,"20 - 24세",2010,12483,6182,6301,98.10
'11010," 종로구",'30,"25 - 29세",2010,14383,7497,6886,108.90
'11010," 종로구",'35,"30 - 34세",2010,11382,5835,5547,105.20
'11010," 종로구",'40,"35 - 39세",2010,12016,5960,6056,98.40
'11010," 종로구",'45,"40 - 44세",2010,12184,5912,6272,94.30
