"행정구역분류 총괄표",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2010.4.1","행정구역명","2010.1.1","행정구역명","2009.10.1","행정구역명","2009.7.1","행정구역명","2009.4.1","행정구역명","2009.1.1","행정구역명","2008.10.1","행정구역명","2008.7.1","행정구역명","2008.4.1","행정구역명","2008.1.1","행정구역명","2007.10.1","행정구역명","2007.7.1","행정구역명","2007.4.1","행정구역명","2007.1.1","행정구역명","2006.10.1","행정구역명","2006.7.1","행정구역명","2006.4.1","행정구역명","2006.1.1","행정구역명","2005.10.1","행정구역명","2005.7.1","행정구역명","2005.4.1","행정구역명","2005.1.1","행정구역명","2004.10.1","행정구역명","2004.7.1","행정구역명","2004.4.1","행정구역명","2004.1.1","행정구역명","2003.10.1","행정구역명","2003.7.1","행정구역명","2003.4.1","행정구역명","2003.1.1","행정구역명",,"2002.12.31","행정구역명","2002.10.1","행정구역명","2002.7.1","행정구역명","2002.4.1","행정구역명","2002.1.1","행정구역명",,"2001.1. 1","행정구역명",,"2000.1. 1","행정구역명",,"99. 1. 1","행정구역명"
11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",,11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",11,"서울특별시",,11,"서울특별시",,11,"서울특별시",,11,"서울특별시"
11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",,11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",11010,"종로구",,11010,"종로구",,11010,"종로구",,11010,"종로구"
1101072,"청운효자동",1101072,"청운효자동",1101072,"청운효자동",1101072,"청운효자동",1101072,"청운효자동",1101072,"청운효자동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",,1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",1101051,"청운동",,1101051,"청운동",,1101051,"청운동",,1101051,"청운동"
,,,,,,,,,,,,1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",,1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",1101052,"효자동",,1101052,"효자동",,1101052,"효자동",,1101052,"효자동"
1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",,1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",1101053,"사직동",,1101053,"사직동",,1101053,"사직동",,1101053,"사직동"
1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",,1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",1101054,"삼청동",,1101054,"삼청동",,1101054,"삼청동",,1101054,"삼청동"
1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",,1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",1101055,"부암동",,1101055,"부암동",,1101055,"부암동",,1101055,"부암동"
1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",,1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",1101056,"평창동",,1101056,"평창동",,1101056,"평창동",,1101056,"평창동"
1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",,1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",1101057,"무악동",,1101057,"무악동",,1101057,"무악동",,1101057,"무악동"
1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",,1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",1101058,"교남동",,1101058,"교남동",,1101058,"교남동",,1101058,"교남동"
